item,score
beverages,0.11852525122199933
semi-finished bread,0.10443645626657186
ham,0.10373013518871656
soft cheese,0.09726404617558519
red/blush wine,0.09107727907687906
ice cream,0.08614301239415377
hard cheese,0.08452381660492844
detergent,0.073099628525792
uht-milk,0.062307396132314105
misc. beverages,0.06170653942584284
cake bar,0.06063261195055238
sausage,0.05745711360145929
sliced cheese,0.05743117040686239
white bread,0.055746138774287815
baking powder,0.05568474214646292
cream cheese,0.05510750978214562
chocolate,0.05397357717163829
chicken,0.051009648863782314
specialty chocolate,0.05015372684587818
finished products,0.04808972776960193
