item,score
beverages,0.38479582165525106
frozen meals,0.151038847816907
chewing gum,0.14458334227246955
pickled vegetables,0.12255005386368807
specialty bar,0.11526181790271547
seasonal products,0.10027108565477012
hard cheese,0.08945381133278289
onions,0.08374264357871791
flour,0.08238226190156239
meat,0.07093059159114377
frozen dessert,0.06020419177104224
red/blush wine,0.05959533230712013
ice cream,0.05943334721790235
pork,0.05734534956254375
processed cheese,0.05616116836839722
spread cheese,0.052782810402900185
salt,0.04732478412751397
uht-milk,0.046659092067375174
frozen potato products,0.04519380780224887
semi-finished bread,0.04478793239969797
