item,score
red/blush wine,0.06374036510423571
ice cream,0.05369172665615789
frozen meals,0.045790414415243716
dog food,0.04531733322657711
cling film/bags,0.035415821296592785
chocolate,0.03228473135804142
white wine,0.03158405184685248
frozen potato products,0.03157626279694108
condensed milk,0.03142389721416756
pot plants,0.031122590851103762
specialty bar,0.029807498980756915
frankfurter,0.027693714966156666
packaged fruit/vegetables,0.027179419849482914
sugar,0.026393764633156694
roll products,0.023675583576941335
processed cheese,0.023488116066875717
cake bar,0.02150611708476377
abrasive cleaner,0.02146524930522323
pasta,0.021421077071788825
jam,0.021158521679947424
