item,score
cat food,0.05947849748168277
processed cheese,0.04854768317685843
chewing gum,0.04734407913894247
cleaner,0.04536310995402042
herbs,0.04349811805242618
specialty bar,0.034458920803235725
packaged fruit/vegetables,0.032828991432411594
cling film/bags,0.03181915713373816
curd cheese,0.03127395938491872
flour,0.030540724976167492
cereals,0.02961882297878277
roll products,0.026623158099520483
specialty cheese,0.025539878775669433
canned fish,0.024926799534854976
finished products,0.02458231082114844
condensed milk,0.02433619584066022
ice cream,0.023310405961886285
chicken,0.021405231795605457
abrasive cleaner,0.02050993391957807
white wine,0.019610231737155447
