item,score
hard cheese,0.07520140543856241
semi-finished bread,0.060919206239548836
ice cream,0.05456696382426024
chewing gum,0.052265878493881326
soft cheese,0.041232037318397294
white wine,0.03065985957924381
cereals,0.03039794832582261
rice,0.028362215135626832
liquor (appetizer),0.027690695002277943
mustard,0.026053545907785303
sliced cheese,0.024874334058945707
processed cheese,0.02332042947429624
cat food,0.023169671492839557
frozen meals,0.019715704875526565
frozen dessert,0.018380478609910968
salt,0.01820171468368048
ketchup,0.016868300020067967
specialty fat,0.016156166662952262
brandy,0.01321200856971443
mayonnaise,0.013186073618613434
